Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)",prom_horas_mes
Empleado 1,0.38,0.53,2,3,0,0,0,157
Empleado 2,0.8,0.86,5,6,0,0,1,262
Empleado 3,0.11,0.88,7,4,0,0,1,272
Empleado 4,0.72,0.87,5,5,0,0,0,223
Empleado 5,0.37,0.52,2,3,0,0,0,159
Empleado 6,0.41,0.5,2,3,0,0,0,153
Empleado 7,0.1,0.77,6,4,0,0,0,247
Empleado 8,0.92,0.85,5,5,0,0,0,259
Empleado 9,0.89,1,5,5,0,0,0,224
Empleado 10,0.42,0.53,2,3,0,0,0,142
Empleado 11,0.45,0.54,2,3,0,0,0,135
Empleado 12,0.11,0.81,6,4,0,0,0,305
Empleado 13,0.84,0.92,4,5,0,0,0,234
Empleado 14,0.41,0.55,2,3,0,0,0,148
Empleado 15,0.36,0.56,2,3,0,0,0,137
Empleado 16,0.38,0.54,2,3,0,0,0,143
Empleado 17,0.45,0.47,2,3,0,0,0,160
Empleado 18,0.78,0.99,4,6,0,0,0,255
Empleado 19,0.45,0.51,2,3,1,1,0,160
Empleado 20,0.76,0.89,5,5,0,0,0,262
Empleado 21,0.11,0.83,6,4,0,0,0,282
Empleado 22,0.38,0.55,2,3,0,0,0,147
Empleado 23,0.09,0.95,6,4,0,0,0,304
Empleado 24,0.46,0.57,2,3,0,0,0,139
Empleado 25,0.4,0.53,2,3,0,0,0,158
Empleado 26,0.89,0.92,5,5,0,0,0,242
Empleado 27,0.82,0.87,4,5,0,0,0,239
Empleado 28,0.4,0.49,2,3,0,0,0,135
Empleado 29,0.41,0.46,2,3,0,0,0,128
Empleado 30,0.38,0.5,2,3,0,0,0,132
Empleado 31,0.09,0.62,6,4,0,0,0,294
Empleado 32,0.45,0.57,2,3,0,0,0,134
Empleado 33,0.4,0.51,2,3,0,0,0,145
Empleado 34,0.45,0.55,2,3,0,0,0,140
Empleado 35,0.84,0.87,4,6,0,0,0,246
Empleado 36,0.1,0.94,6,4,0,0,0,255
Empleado 37,0.38,0.46,2,3,0,0,0,137
Empleado 38,0.45,0.5,2,3,0,0,0,126
