,Id,Texto,Re-Teewts,Likes
0,1588644485629710336,¿Crónica de una debacle anunciada? (La Reforma a la Salud) https://t.co/8a04XMOUlF,708,1118
1,1588351433484603392,"Ha fallecido en Sincelejo doña Ana María de la Espeiella de Guerra, una vida al servicio de la democracia y de los… https://t.co/OwRLE2XzUu",189,751
2,1588349572123951110,Las cuatro empresas colombianas que Chávez expropió y volvió trofeo en Aló Presidente - https://t.co/OwrSOWFDJp https://t.co/qsl22rz7iv,766,1149
3,1588314902841917441,"Intervención en el #ForoAniversario de @fedyliber 

https://t.co/eeyEB6RJSj https://t.co/0peZA2wZ71",150,297
4,1588289028595458048,"Reforma Tributaria:

1. Corto plazo: 

Aumenta el recaudo y da caja a los programas del Gbno;

2. Riesgo: 

Con otr… https://t.co/w1gKvDtP3t",733,1677
5,1588253665474789377,Otros alimentos que quedan gravados. https://t.co/Lf4huSOUYS,1359,2206
6,1588233240334196744,"Alimentos que quedan gravados con la Reforma Tributaria. Mayor informalidad, menos empleo, menos consumo. No hubo m… https://t.co/S3TK4VVTHT",2485,4908
7,1588232492884041733,"RT @CeDemocratico: Le pido respetuosamente que retiren el artículo 31 de ese bloque, que tiene que ver con el impuesto al patrimonio. Hemos…",199,0
8,1588231465862660096,"Llega la triste noticia del fallecimiento de doña Doris Sanz de Cano, madre del dr Carlos Gustavo Cano. Queda mi co… https://t.co/eZWZvjRbAF",183,695
9,1587896188501909509,"12° Foro ABECEB ""El otro cambio climático""

El problema de la recesión, yo diría que eso es manejable si hay una ún… https://t.co/BsSsnHaORj",325,734
10,1587776790625505286,"Partió Carlos Melo en Villagarzón, Putumayo. Su apoyo fue valioso y muy valeroso. Qué tristeza! Solidaridad querida familia",197,844
11,1587750152755879937,"RT @Juan_EspinalR: Fe y esperanza que Andrès Camilo regresará a los brazos de su madre y familia. 👏🏻👏🏻👏🏻 

@DefensoriaCol @mindefensa @clao…",126,0
12,1587583017236799490,"12° Foro ABECEB ""El otro cambio climático""
01/11/22

A pesar de las corrientes políticas predominantes en América L… https://t.co/Ee2vEkEKkW",512,1099
13,1587533029702045697,"Intervención en el 12° Foro de ABECEB “ El Otro Cambio Climático”

https://t.co/lb4N3cTwD1 https://t.co/vfPSrTeUgx",185,430
14,1587505038515228674,Respuesta al Periodista: “Me siento orgulloso de los matices congresionales del Centro Democrático. Los hay que cri… https://t.co/QRkzB8sxB9,673,1621
15,1587500608092884994,Unicornio argentino de cobros y pagos digitales. Una prioridad es reformar la educación y ayudar al emprendimiento… https://t.co/4sptV2h9tU,107,253
16,1587474675814334464,Sergio Abreu “Los únicos que no tienen sindicatos son los que pagan impuestos”,785,1955
17,1587458323275808769,"En la Seguridad Democrática pedíamos resultados, no crímenes, eficacia con transparencia.

En educación, infraestru… https://t.co/ournoFZF6P",1250,3197
18,1587105567604187143,"Perdón, fui mal informado pero la noticia es muy dolorosa porque falleció el hermano de nuestro ex Representante Jh… https://t.co/qNKr0FRyNd",489,2458
19,1586886012248231936,"En el resultado de Brasil incidieron los pobres, no la izquierda ideológica.

Ojalá el Presidente Lula no apoye com… https://t.co/Y8IFNx3ihg",2417,8388
20,1586791996794052614,"RT @dona_pily2: Av. 68 con Boyacá.
Tiene un local.
No pagó la extorsión. https://t.co/ZnGaMH6TcE",2085,0
21,1586776684388311040,"Felicitaciones niñas, ejemplo de juventud deportista. Qué orgullo para Colombia! https://t.co/oyl0sOP26e",651,2917
22,1586729234730520577,"En honor a nuestro Equipo de Mujeres hacemos una nueva cancha; más deporte, cero droga https://t.co/EBdysjuseH",836,2364
23,1586728187416944640,"Por favor autoridades y concesionarios, el Suroeste de Antioquia está incomunicado",671,1714
24,1586545405029933056,"Murió Víctor Jaramillo en Tumaco, recuerdo con gratitud su participación y difusión de nuestros Consejos Comunitari… https://t.co/GzIrIkJqSf",268,970
25,1586463931085758464,"RT @PaulaOrdunaT: No queremos cruzar la frontera con el corazón en la mano y el alma en la Patria. ❤️ 🇨🇴

#ALaCalleEl29 https://t.co/DIxQAs…",839,0
26,1586451192682778624,"RT @Juan_EspinalR: Importante que Gobierno Nacional y departamental, ANI y Covipacifico 1, escuchen a la comunidad del suroeste, no aguanta…",105,0
27,1586448944149794818,"RT @VickyDavilaH: Aquí está la protesta pacífica de la primera línea. Querían meterse a la fuerza al búnker de la Fiscalía, prendieron fueg…",4371,0
28,1586310823928102912,En Valledupar. Su familia pide ayuda por favor https://t.co/ruswRZmG6a,1010,1201
29,1586077577738756097,RT @CeDemocratico: El Centro Democrático sienta su voz de protesta por la decisión de un funcionario de la Unidad Nacional de Protección de…,301,0
30,1586046369558450176,RT @CeDemocratico: Comunicado del Centro Democrático sobre la Presidencia de la Junta Directiva de Ecopetrol: https://t.co/yXukBGDElH,557,0
31,1586026898370736130,"Foros Regionales Centro Democrático: documento y presentación de la consultoría del Meta
 https://t.co/SEa7hv0Rat",86,229
32,1585651794532864000,"Manifestación de Interés para las elecciones locales 2023.
¿Cómo puedes ser uno de los candidatos del… https://t.co/Lc6qRg7Yet",176,377
33,1585604937521709058,Con la CONFIANZA perdida no tendremos ayudas para garantizar la estabilidad macroeconómica y la política social,992,2738
34,1585603639577550848,"José Vicente Velasco (Checo) falleció en Popayán. Nuestra solidaridad a Leonor, su señora, y a toda la familia. Todo el afecto",86,378
35,1585603090203410432,El patrimonio que no se puede perder es la CONFIANZA. Es lo único que permite financiar sostenidamente la política social.,1167,3150
36,1585435292126822401,Pura naturaleza: los 17 países más biodiversos del mundo https://t.co/yn4tjcuHeU,161,432
37,1585322348030443535,RT @BancoMundialLAC: Un tercio de los empleadores en #AmLat no encuentra trabajadores calificados. Pese a que los programas cortos de #educ…,61,0
38,1585292611333410816,"Felicitaciones a la Selección Colombia Femenina Sub 17, son un orgullo para nuestra patria. https://t.co/bvwIZWBhDW",736,3952
39,1585246203159060480,"Ojalá un candidato (ta), con el compromiso de la seguridad y de la confianza para superar el alto nivel de pobreza.… https://t.co/3j3LTkwI5D",356,737
40,1585072856370929664,RT @PaolaHolguin: Ante la falta de garantías del Senador Roy Barreras para acabar mi réplica al Senador Alex Flórez frente a una serie de a…,1161,0
41,1584969004891840513,Por qué NO a la marihuana https://t.co/KVONXDehxZ,512,958
42,1584875827472175105,"Mejor reducir la tributaria que:

Afectar 

Tenderos, consumidores, emprendedores, inversionistas, empleo, transici… https://t.co/fL0V3chczp",1161,2428
43,1584874413480345600,"RT @CeDemocratico: ¿Cuánto le cuesta a la ciudadanía el vandalismo?
#CaosTotal https://t.co/J2CngeAuEC",430,0
44,1584868331718606849,RT @MariaFdaCabal: ¿Cuándo darán razón de los niños violados y secuestrados por las FARC? ¿Esos no importaron?,1526,0
45,1584865678938365952,RT @SenadoGovCo: #PlenariaSenado I #AEstaHora la S. @PalomaValenciaL dijo: “Celebro que se haya aceptado la incorporación del cumplimiento…,93,0
46,1584683032459456512,"RT @infospain_: Mi admirado @sergiosayas a @NadiaCalvino: ""Usted dice que no aporta nada reducir ministerios, y yo le pregunto, ¿qué aporta…",576,0
47,1584605432256962563,RT @IdiazAyuso: No a las drogas. https://t.co/tSUaCNMUAh,1805,0
48,1584535866160005120,RT @NoticiasCaracol: ¿Cuál es la importancia de la minería y el petróleo para la economía y para los colombianos? ¿Qué significa la sobreta…,607,0
49,1583987794216906752,"RT @AlvaroUribeVel: Villavicencio, octubre 22 de 2022

Transcripción de los 15 puntos dichos contra la legalización del uso recreativo de l…",368,0
50,1583987773681590272,"RT @AlvaroUribeVel: Villavicencio, octubre 22 de 2022

15 puntos contra la legalización del uso recreativo de la marihuana

https://t.co/ZZ…",179,0
51,1583978596779298817,"15 puntos de oposición a la legalización del uso recreativo de la marihuana:

15.El microtráfico y la violencia, en… https://t.co/AyCrZW1Crl",332,577
52,1583961901494517760,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

14… https://t.co/sB4uFaLj0T",201,383
53,1583961696317894656,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

13… https://t.co/1tplZIS7PJ",204,354
54,1583960825403801600,"Villavicencio, oct 22 

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

12. Pasos com… https://t.co/XunGsNcxuF",159,296
55,1583960435069710336,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

11… https://t.co/VzJ9OhQOJ5",129,251
56,1583959097313234945,"Villavicencio, oct 22 

15 puntos de oposición a la legalización del uso recreativo de la marihuana:
10. No hay tal… https://t.co/AnLXN8knCz",205,370
57,1583957660210061313,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

9.… https://t.co/cg0yancoqo",172,312
58,1583956737798729729,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

8.… https://t.co/rd5t6pUcjq",175,326
59,1583956287678984192,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:
7.… https://t.co/WRzMyQ3mQG",134,224
60,1583955504472391680,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:
6.… https://t.co/dwiQYz6cwM",147,253
61,1583954597197926401,"15 puntos de oposición a la legalización del uso recreativo de la marihuana:

5. Legalizar el uso recreativo para a… https://t.co/CNwNZFpiGC",411,845
62,1583953001621835776,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

4.… https://t.co/YjbkOynxx6",143,248
63,1583951108015202305,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

3.… https://t.co/ugYEyhORPq",139,223
64,1583950433642418176,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:
2.… https://t.co/kqinGT5a34",162,283
65,1583949807772917760,"Villavicencio, octubre 22 de 2022

15 puntos de oposición a la legalización del uso recreativo de la marihuana:

1.… https://t.co/8jqhsBNjGR",260,460
66,1583947632946266112,"Villavicencio, octubre 22 de 2022

15 puntos contra la legalización del uso recreativo de la marihuana

https://t.co/ZZAOGB1iPN",179,314
67,1583945890753961986,"Villavicencio, octubre 22 de 2022

Transcripción de los 15 puntos dichos contra la legalización del uso recreativo… https://t.co/J8UIbhYyrG",368,613
68,1583873661509173248,"RT @CeDemocratico: Manifiesto de los asistentes al Foro de Villavicencio:
22 de octubre 2022 https://t.co/AEjBrVGkfW",267,0
69,1583845442009595904,"Foro Villavicencio

Este partido es un partido que piensa que se necesita un país seguro(...) cree que la seguridad… https://t.co/01oSGo1dOz",500,1123
70,1583844566834503682,"Foro Villavicencio:

Este partido defiende el emprendimiento privado(...) considera que la única manera de hacer po… https://t.co/FEtMrYxsdy",379,783
71,1583841223629975553,"Aquí se puede leer

https://t.co/bbfJ92AFPN https://t.co/XRuv2Y1IV3",170,310
72,1583837821399617536,Iniciamos la transmisión en vivo del sexto Foro del Centro Democrático - Comunidad Oficial 'Las regiones vuelven al… https://t.co/fPmJzbaUQT,106,258
73,1583837264416673793,"Villavicencio, gracias la alegría no se puede perder. (Extrañamos a Guillermo Reina, nos acompaña desde el cielo) https://t.co/rt456UKcOE",154,453
74,1583819933892608001,"Quizás por viejo, pero como padre y abuelo, que me preocupa el futuro de las nuevas generaciones, presentaré hoy en… https://t.co/za7oNLcrLf",3088,9359
75,1583800330994663429,"Tomado del artículo del dr INDALECIO DANGOND:

Milton Friedman. “Copien lo que los paises ricos hicieron para hacer… https://t.co/kJ4NkrxUsi",1143,2591
76,1583782328182386688,"La democracia, los gobiernos, la política, requieren la mayor regla dialéctica de la vida:

Acometer, ajustar, rectificar.",972,2374
77,1583774944831250433,"En Armenia falleció doña Holanda Jaramillo de Botero, a quien siempre recordaremos con afecto. Solidaridad querida familia",96,466
78,1583660703428513793,RT @AlvaroUribeVel: https://t.co/m4xVMsbi5S,327,0
79,1583649885009506304,"Café $2.265.000 Bolsa NY 1,90 USD Azucar 18.38 USD lb
Dolar TRM $4.913,24 (anterior $4.885,50) Euro $4.848,69 Libra… https://t.co/SQgbIKjjRt",107,232
80,1583486868410114050,"País de Madrid. 

La señora Catalina Oquendo saca una información sesgada, fuera de contexto, de nuestra publicació… https://t.co/gc5bLPJyEK",238,391
81,1583197285256945664,Alza del dólar obliga a muchos ciudadanos a abandonar el sueño de tener casa propia porque no pueden pagar el incre… https://t.co/8f8t7wqUHP,3837,12079
82,1583195632797634560,"RT @dona_pily2: Si alguien conoce quién es la mujer de rosado que se metió a la estación de Transmilenio, a defender a la patrullera y ayud…",408,0
83,1583174505195016192,"RT @AlvaroUribeVel: Profundo dolor me causa la muerte de Darío Gutiérrez Márquez, compañero de la Universidad de Antioquia y amigo de todas…",221,0
84,1583174476430467072,RT @AlvaroUribeVel: 1. El ejercicio de autoridad no ha encontrado reemplazo https://t.co/ab7vIlg5sm,1113,0
85,1583109235939819521,"El ahorro burocrático acumulado de nuestros Gbnos fue del 5,5%/PIB. Empezamos disminuyendo ministerios y embajadas.… https://t.co/QdJU7Zav15",1078,2350
86,1583103321862467584,"Estado Burocrático consume recursos del Estado Social. 

Preocupa más ministerios.

Reconozco que apoyé los 2 minis… https://t.co/A0QJaJaXEL",454,1055
87,1582949915029778432,¡Familias! https://t.co/8L0YZ9n5zO,282,497
88,1582945693152731137,"RT @luismorales0621: [La regulación acabará con el comercio ilegal]

Falso, los altos impuestos logran lo contrario. 

El mejor ejemplo es…",190,0
89,1582945679647051776,"RT @luismorales0621: [La regulación generará recursos para financiar la atención de los afectados] 

Falso. El alcohol y el tabaco demuestr…",152,0
90,1582945630472716288,"RT @luismorales0621: [La regulación no aumentará el consumo] 

Falso, el consumo de alcohol sigue en aumento en todo el mundo a pesar de se…",158,0
