user_id,edad,genero,pais,tipo_plan,cursos_inscritos,cursos_completados,horas_totales_plataforma,ultima_actividad_dias,nivel_satisfaccion,uso_dispositivo,contacto_soporte,churn
1,56,0,3,2,1,6,13.5,40,5,1,0,0
2,46,2,0,0,2,1,7.7,43,5,1,0,0
3,32,0,1,3,4,1,6.7,72,4,1,0,0
4,60,1,2,1,3,4,15.7,15,2,2,0,1
5,25,0,5,1,5,2,8.2,23,1,2,1,0
6,38,1,3,2,3,0,2.8,20,4,2,0,0
7,56,1,1,3,4,3,4.6,58,1,0,0,0
8,36,0,0,2,2,3,9.4,38,3,1,0,0
9,40,2,5,2,5,2,3.8,70,1,0,0,1
10,28,2,0,1,2,3,4.1,6,3,1,0,0
11,28,1,5,3,2,1,6.3,27,1,1,0,0
12,41,0,3,3,2,3,9.0,50,3,2,0,0
13,53,1,0,0,2,5,6.6,34,5,1,0,0
14,57,2,1,2,5,2,0.4,57,4,1,0,0
15,41,2,1,3,3,2,4.8,9,5,2,0,0
16,20,0,2,2,2,3,13.7,37,2,1,0,0
17,39,0,5,2,6,1,11.0,31,4,0,0,0
18,19,0,2,3,0,3,5.3,61,5,0,1,0
19,41,0,4,1,1,1,14.6,87,1,1,0,1
20,61,1,1,2,6,2,18.1,49,4,2,0,0
21,47,0,5,3,7,3,12.4,40,1,0,0,0
22,55,0,3,2,5,4,7.7,46,5,0,0,0
23,19,0,2,1,5,1,9.9,1,4,2,0,0
24,38,1,3,2,3,1,3.7,41,5,1,0,0
25,50,2,3,2,3,3,6.0,3,2,1,0,0
26,29,1,3,0,2,2,3.0,0,5,3,1,0
27,39,0,2,1,2,1,19.7,21,2,1,0,0
28,61,0,4,3,1,1,2.4,10,5,2,0,0
29,42,0,2,1,1,2,8.2,10,4,1,0,0
30,44,0,0,1,2,0,6.0,13,1,1,1,1
31,59,1,1,1,4,1,1.1,86,4,1,0,0
32,45,1,2,3,5,2,15.5,72,5,1,0,1
33,33,0,2,1,2,0,4.9,58,5,1,0,0
34,32,0,4,3,3,4,1.4,17,5,3,0,0
35,64,1,0,2,3,2,4.4,60,3,2,1,0
36,61,0,2,0,4,2,6.6,23,2,2,0,0
37,20,0,1,3,8,0,4.0,26,1,2,0,1
38,54,0,1,3,4,0,4.6,34,2,2,1,0
39,24,0,2,3,4,1,10.0,67,5,1,0,1
40,38,1,3,2,2,1,9.0,21,5,3,0,0
41,26,1,3,3,3,1,14.2,10,2,2,1,0
42,56,0,0,1,2,1,5.1,70,2,2,0,1
43,35,0,1,1,0,5,12.5,57,2,0,0,0
44,21,0,3,2,3,4,4.9,75,3,1,0,0
45,42,0,1,2,2,0,23.8,3,2,2,0,1
46,31,0,0,2,3,3,21.1,65,5,2,0,0
47,26,2,0,2,1,2,9.1,64,1,2,0,1
48,43,0,3,2,3,2,4.8,17,4,0,1,0
49,19,0,2,2,0,4,7.7,58,2,0,1,0
50,37,1,5,1,2,1,23.5,22,2,1,0,0
51,45,1,4,0,3,4,4.4,3,2,1,0,0
52,64,0,5,0,3,3,17.4,52,1,1,1,1
53,24,1,5,0,0,4,2.4,82,2,2,0,0
54,61,2,1,2,5,1,13.8,39,2,1,0,0
55,25,0,0,2,2,2,5.9,39,2,1,0,1
56,64,0,1,0,5,3,5.5,50,1,2,0,0
57,52,1,3,0,3,1,6.1,8,4,2,0,0
58,31,1,4,3,3,1,27.9,22,5,2,1,0
