ID_Prestamo,ID_Cliente,Ciudad,Region,Monto_Prestamo,Tasa_Interes_Anual,Garantia,Valor_Garantia,Fecha_Inicio,Fecha_Termino,Saldo_Pendiente,Estado_Pago,Tiempo en Meses del prest,Tiene_Atrasos,Estado,Ingresos_Mensuales,Nivel_Educativo,Tipo_Contrato,Antiguedad_Laboral_A̱os,Numero_Creditos_Activos,Score_Crediticio,Duracion_Prestamo_Dias,Riesgo
5,76,1,1,24523.26,5,1,80000,737975,738555,0,0,35,0,0,694707,3,2,2,7,952,580,0
7,149,2,1,35290.62,6.98,2,2000,738537,739268,13319.99,1,17,0,0,521024,1,1,3,7,307,731,0
8,126,3,2,10728.44,6.65,3,90000,737910,738609,1384.72,2,38,1,1,791218,1,2,5,8,556,699,1
9,77,3,2,36124.69,14.93,4,50000,738391,738940,19833.6,2,22,1,1,838028,2,3,8,2,958,549,1
10,31,4,2,24906.99,13.13,5,3000,738280,738494,2428.65,2,25,1,1,609535,2,3,9,2,654,214,1
11,132,5,1,9166.06,6.86,6,75000,737856,738221,0,0,39,0,0,917816,1,1,3,7,839,365,0
12,74,6,1,36831.5,9.13,7,200000,738137,738653,0,0,30,0,0,739923,3,3,2,7,944,516,0
13,30,7,1,15114.47,14.89,7,200000,737936,738577,9805,2,37,1,1,351378,3,3,6,3,835,641,1
14,153,1,1,48636.9,9.8,8,120000,738799,739165,0,0,8,0,0,822107,2,2,9,3,414,366,0
15,93,4,2,9871.77,13.37,8,120000,737502,738142,0,0,51,0,0,942409,3,1,9,5,455,640,0
16,87,7,1,24224.22,13.47,9,150000,737476,737811,0,0,52,0,0,426984,1,2,9,5,745,335,0
17,3,8,2,6416.63,12.68,6,75000,737856,738101,2251.77,2,39,1,1,502077,3,3,5,6,808,245,1
18,184,9,1,39467.43,9.57,5,3000,737899,738570,4986.18,2,38,1,1,955561,1,1,9,8,466,671,1
19,107,10,2,15236.6,14.61,8,120000,737659,737932,0,0,46,0,0,531769,3,2,6,2,590,273,0
20,195,11,3,31784.33,7.67,10,200000,738737,739590,10392.4,1,10,0,0,593408,3,3,5,8,669,853,0
21,160,12,1,1507.38,14.71,4,50000,738453,738849,0,0,20,0,0,457259,1,1,7,6,567,396,0
22,102,13,4,41979.04,9.85,11,100000,738186,738579,0,0,29,0,0,594745,3,1,3,6,600,393,0
26,195,11,3,17831.79,6.6,5,3000,738300,738576,17118.36,2,25,1,1,593408,3,3,5,8,669,276,1
27,160,12,1,26775.52,7.63,7,200000,737487,737732,0,0,51,0,0,457259,1,1,7,6,567,245,0
28,61,14,2,26141.97,6.4,8,120000,738066,738857,8936.27,2,32,1,1,525803,1,3,1,3,434,791,1
29,42,15,4,15129.22,10.85,12,1000,738871,739541,0,0,6,0,0,351179,3,1,6,2,922,670,0
30,100,16,3,48605.16,6.97,6,75000,738245,738701,23780.4,2,27,1,1,616447,2,2,6,6,432,456,1
31,92,17,4,20881.12,6.52,12,1000,737518,738066,17613.16,2,50,1,1,364482,1,1,9,7,918,548,1
32,24,7,1,23315.65,14.54,11,100000,737762,737974,12516.12,2,42,1,1,580998,2,2,5,3,554,212,1
33,137,18,1,34396.25,6.33,13,80000,738832,739167,0,0,7,0,0,798090,2,3,9,9,245,335,0
34,149,2,1,4957.22,7.88,14,180000,738431,739254,3966.75,1,20,0,0,521024,1,1,3,7,307,823,0
35,137,18,1,31405.19,8.2,6,75000,738685,739296,25135.2,1,12,0,0,798090,2,3,9,9,245,611,0
36,161,19,5,6149.26,14.83,4,50000,738671,739251,2716.35,1,13,0,0,765796,1,1,1,4,351,580,0
37,157,16,3,8955.13,5.81,8,120000,738135,738956,113.81,2,30,1,2,569326,2,3,7,8,972,821,1
38,48,20,6,4712.6,7.12,15,30000,737946,738280,0,0,36,0,0,767388,3,2,5,9,824,334,0
39,185,21,4,33837.91,10.51,1,80000,737797,738162,0,0,41,0,0,932942,2,2,7,5,840,365,0
40,192,1,1,34433.16,7.51,13,80000,738108,738534,0,0,31,0,0,732207,2,3,5,8,863,426,0
41,158,15,4,29654,14.72,14,180000,737945,738493,54.28,2,36,1,1,547953,1,1,8,8,629,548,1
42,85,22,3,45959.07,7.81,3,90000,738747,739325,0,0,10,0,0,673558,3,2,9,1,474,578,0
43,44,23,7,36158.73,14.2,16,60000,737714,738352,9151.98,2,44,1,1,494990,1,3,1,2,836,638,1
44,16,15,4,12165.94,9.32,16,60000,737947,738738,6502.87,2,36,1,1,520708,3,2,3,6,698,791,1
45,194,24,2,11105.97,8.89,5,3000,737792,738188,0,0,41,0,0,920975,3,3,5,9,289,396,0
46,86,25,4,15601.62,8.2,17,150000,738834,739200,0,0,7,0,0,750318,2,3,7,3,359,366,0
47,86,25,4,39168.25,8.22,18,5000,738041,738862,7028.07,2,33,1,1,750318,2,3,7,3,359,821,1
48,140,26,2,45626.89,8.63,6,75000,738364,738729,23995.78,2,23,1,1,690232,2,3,6,5,766,365,1
49,90,18,1,14494.85,6.79,1,80000,738116,738938,0,0,31,0,0,471478,1,2,7,5,925,822,0
50,78,27,6,46531.34,14.53,13,80000,738465,738830,20231.42,2,19,1,1,993994,1,3,7,5,357,365,1
51,83,26,2,19142.18,13.06,4,50000,738659,738995,0,0,13,0,0,370582,3,2,8,2,463,336,0
52,136,1,1,3094.31,8.5,14,180000,738831,739439,0,0,7,0,0,926469,1,3,5,3,931,608,0
53,23,10,2,28815.13,13.58,1,80000,737977,738434,0,0,35,0,0,578533,2,2,8,3,390,457,0
54,14,27,6,13541.41,12.67,10,200000,737488,738190,11159.21,2,51,1,1,380722,3,1,3,8,700,702,1
55,43,28,6,19739.36,5.86,12,1000,737472,737807,0,0,52,0,0,879916,1,3,4,5,647,335,0
56,90,18,1,10538.71,12.33,19,100000,738009,738892,7571.18,2,34,1,1,471478,1,2,7,5,925,883,1
57,6,25,4,8827.02,7,18,5000,738734,739587,0,0,10,0,0,697768,3,1,1,4,736,853,0
58,59,29,4,33586.41,14.35,10,200000,738518,739400,17988.4,1,18,0,0,848045,2,1,3,7,869,882,0
59,154,14,2,15177.82,10.3,11,100000,737903,738602,2545.91,2,38,1,1,548219,1,1,4,7,828,699,1
61,127,9,1,1119.6,14.29,2,2000,738139,738566,0,0,30,0,0,735900,3,3,2,9,810,427,0
62,69,24,2,42146.12,9.29,17,150000,738522,738703,0,0,17,0,0,800309,1,2,0,1,631,181,0
63,142,30,1,7192.45,11.89,5,3000,738884,739281,0,0,6,0,0,864138,2,1,9,4,655,397,0
64,145,13,4,6673.04,6.59,8,120000,737613,737887,0,0,47,0,0,680964,3,1,0,5,705,274,0
65,72,28,6,36021.36,13.54,11,100000,737816,738240,0,0,41,0,0,516383,1,3,5,9,859,424,0
66,35,10,2,47747.83,9.38,14,180000,738147,738968,0,0,30,0,0,698130,2,3,8,8,883,821,0
67,78,27,6,12299.91,6.78,17,150000,737693,738545,3466.37,2,45,1,1,993994,1,3,7,5,357,852,1
68,159,8,2,20614.3,8.71,4,50000,738239,739154,0,0,27,0,0,605424,1,2,7,2,625,915,0
69,182,13,4,28878.93,14.81,3,90000,738297,739120,23940.05,1,25,0,0,825696,1,2,6,6,270,823,0
70,124,11,3,34816.35,8.22,7,200000,738806,739019,0,0,8,0,0,424960,2,1,8,8,317,213,0
71,92,17,4,6440.35,7.3,3,90000,738604,739245,0,0,15,0,0,364482,1,1,9,7,918,641,0
72,52,11,3,15285.95,5.09,17,150000,737920,738408,0,0,37,0,0,366473,1,1,0,1,599,488,0
73,31,4,2,45989.26,11.96,14,180000,737445,737962,15019.03,2,53,1,1,609535,2,3,9,2,654,517,1
74,4,1,1,40932.66,12.51,9,150000,737877,738487,0,0,39,0,0,471483,1,1,0,4,631,610,0
75,155,29,4,14453.9,14.02,10,200000,738627,738933,524.15,2,14,1,1,467555,2,2,0,4,309,306,1
76,156,22,3,9698.42,14.92,7,200000,737982,738197,3311.43,2,35,1,1,485345,3,2,1,4,373,215,1
77,116,15,4,22866.87,8.14,17,150000,738380,738929,0,0,22,0,0,354208,3,1,4,7,851,549,0
79,178,18,1,29873.48,9.73,16,60000,737773,738138,0,0,42,0,0,423230,1,1,6,4,431,365,0
80,51,31,5,45851.74,10.09,7,200000,738870,739175,1805.95,1,6,0,0,447831,2,1,6,4,294,305,0
81,123,20,6,35880.18,14.23,6,75000,738095,738733,18736.34,2,31,1,1,814475,2,2,8,7,524,638,1
83,105,23,7,39127.33,5.15,7,200000,737884,738524,0,0,38,0,0,400273,2,1,3,8,923,640,0
84,6,25,4,46169.51,9.75,9,150000,737541,738332,0,0,50,0,0,697768,3,1,1,4,736,791,0
86,81,7,1,42047.58,10.62,12,1000,737992,738207,0,0,35,0,0,933139,2,2,4,3,609,215,0
87,118,26,2,16182.34,14.9,19,100000,737891,738074,4442.46,2,38,1,1,569415,2,3,6,7,967,183,1
88,5,29,4,47000.82,10.91,9,150000,738466,738831,0,0,19,0,0,648082,3,3,8,8,685,365,0
89,68,15,4,37413.22,9.05,2,2000,738365,739219,0,0,23,0,0,905092,3,2,6,7,369,854,0
90,11,31,5,16404.8,8.68,18,5000,737899,738325,16048.04,2,38,1,1,840754,3,3,7,2,854,426,1
91,57,3,2,21344.54,5.18,16,60000,738465,738646,0,0,19,0,0,499672,2,1,0,3,931,181,0
92,7,27,6,5197.16,7.96,16,60000,737923,738349,0,0,37,0,0,380550,2,3,9,3,517,426,0
93,78,27,6,46962.26,14.11,3,90000,738787,739091,24332.75,1,9,0,0,993994,1,3,7,5,357,304,0
94,42,15,4,5647.05,11.12,7,200000,737812,738420,950.03,2,41,1,1,351179,3,1,6,2,922,608,1
95,48,20,6,46615.34,12.57,15,30000,737744,738474,0,0,43,0,0,767388,3,2,5,9,824,730,0
96,101,2,1,14858.68,13.02,17,150000,738567,739236,0,0,16,0,0,797889,2,3,8,3,538,669,0
97,85,22,3,6521.41,13.08,6,75000,738296,738997,2069.86,2,25,1,2,673558,3,2,9,1,474,701,1
98,76,1,1,30274.32,14.15,6,75000,737971,738366,0,0,36,0,0,694707,3,2,2,7,952,395,0
99,25,19,5,15190.49,11.07,13,80000,738272,739003,5813.87,2,26,1,2,912798,1,3,5,4,506,731,1
100,117,26,2,39286.34,7.05,17,150000,737725,737968,0,0,44,0,0,932275,3,3,6,4,268,243,0
101,194,24,2,12651.89,5.59,6,75000,737612,737916,0,0,47,0,0,920975,3,3,5,9,289,304,0
103,75,7,1,19347.08,12.76,7,200000,737526,738135,0,0,50,0,0,429184,3,3,4,5,716,609,0
104,30,7,1,46297.91,6.6,3,90000,738082,738325,0,0,32,0,0,351378,3,3,6,3,835,243,0
