user_id,edad,genero,pais,tipo_plan,cursos_inscritos,cursos_completados,horas_totales_plataforma,ultima_actividad_dias,nivel_satisfaccion,uso_dispositivo,contacto_soporte,churn
1,56,Femenino,Ecuador,Mensual,1,6,13.5,40,5,Móvil,0,0
2,46,Otro,Argentina,Anual,2,1,7.7,43,5,Móvil,0,0
3,32,Femenino,Chile,Trimestral,4,1,6.7,72,4,Móvil,0,0
4,60,Masculino,Colombia,Gratis,3,4,15.7,15,2,PC,0,1
5,25,Femenino,Perú,Gratis,5,2,8.2,23,1,PC,1,0
6,38,Masculino,Ecuador,Mensual,3,0,2.8,20,4,PC,0,0
7,56,Masculino,Chile,Trimestral,4,3,4.6,58,1,Mixto,0,0
8,36,Femenino,Argentina,Mensual,2,3,9.4,38,3,Móvil,0,0
9,40,Otro,Perú,Mensual,5,2,3.8,70,1,Mixto,0,1
10,28,Otro,Argentina,Gratis,2,3,4.1,6,3,Móvil,0,0
11,28,Masculino,Perú,Trimestral,2,1,6.3,27,1,Móvil,0,0
12,41,Femenino,Ecuador,Trimestral,2,3,9.0,50,3,PC,0,0
13,53,Masculino,Argentina,Anual,2,5,6.6,34,5,Móvil,0,0
14,57,Otro,Chile,Mensual,5,2,0.4,57,4,Móvil,0,0
15,41,Otro,Chile,Trimestral,3,2,4.8,9,5,PC,0,0
16,20,Femenino,Colombia,Mensual,2,3,13.7,37,2,Móvil,0,0
17,39,Femenino,Perú,Mensual,6,1,11.0,31,4,Mixto,0,0
18,19,Femenino,Colombia,Trimestral,0,3,5.3,61,5,Mixto,1,0
19,41,Femenino,México,Gratis,1,1,14.6,87,1,Móvil,0,1
20,61,Masculino,Chile,Mensual,6,2,18.1,49,4,PC,0,0
21,47,Femenino,Perú,Trimestral,7,3,12.4,40,1,Mixto,0,0
22,55,Femenino,Ecuador,Mensual,5,4,7.7,46,5,Mixto,0,0
23,19,Femenino,Colombia,Gratis,5,1,9.9,1,4,PC,0,0
24,38,Masculino,Ecuador,Mensual,3,1,3.7,41,5,Móvil,0,0
25,50,Otro,Ecuador,Mensual,3,3,6.0,3,2,Móvil,0,0
26,29,Masculino,Ecuador,Anual,2,2,3.0,0,5,Tablet,1,0
27,39,Femenino,Colombia,Gratis,2,1,19.7,21,2,Móvil,0,0
28,61,Femenino,México,Trimestral,1,1,2.4,10,5,PC,0,0
29,42,Femenino,Colombia,Gratis,1,2,8.2,10,4,Móvil,0,0
30,44,Femenino,Argentina,Gratis,2,0,6.0,13,1,Móvil,1,1
31,59,Masculino,Chile,Gratis,4,1,1.1,86,4,Móvil,0,0
32,45,Masculino,Colombia,Trimestral,5,2,15.5,72,5,Móvil,0,1
33,33,Femenino,Colombia,Gratis,2,0,4.9,58,5,Móvil,0,0
34,32,Femenino,México,Trimestral,3,4,1.4,17,5,Tablet,0,0
35,64,Masculino,Argentina,Mensual,3,2,4.4,60,3,PC,1,0
36,61,Femenino,Colombia,Anual,4,2,6.6,23,2,PC,0,0
37,20,Femenino,Chile,Trimestral,8,0,4.0,26,1,PC,0,1
38,54,Femenino,Chile,Trimestral,4,0,4.6,34,2,PC,1,0
39,24,Femenino,Colombia,Trimestral,4,1,10.0,67,5,Móvil,0,1
40,38,Masculino,Ecuador,Mensual,2,1,9.0,21,5,Tablet,0,0
41,26,Masculino,Ecuador,Trimestral,3,1,14.2,10,2,PC,1,0
42,56,Femenino,Argentina,Gratis,2,1,5.1,70,2,PC,0,1
43,35,Femenino,Chile,Gratis,0,5,12.5,57,2,Mixto,0,0
44,21,Femenino,Ecuador,Mensual,3,4,4.9,75,3,Móvil,0,0
45,42,Femenino,Chile,Mensual,2,0,23.8,3,2,PC,0,1
46,31,Femenino,Argentina,Mensual,3,3,21.1,65,5,PC,0,0
47,26,Otro,Argentina,Mensual,1,2,9.1,64,1,PC,0,1
