TipoHabitacion,PrecioPorNoche,MetodoPago,FrecuenciaVisitas,AfiliadoFidelidad,MotivoViaje,PaisOrigen,AtencionRecepcion,LimpiezaHabitacion,Ruido,Confort,CalidadServicio,VariedadRestaurante,FacilidadReserva,Calificacion
Premium,140.84,Efectivo,6,Sí,Negocios,México,3,2,1,3,3,1,5,3
Familiar,145.81,Tarjeta,4,Sí,Vacaciones,Argentina,2,3,2,2,2,4,1,3
Estándar,142.22,Tarjeta,3,No,Vacaciones,Alemania,3,1,2,1,2,2,5,2
Premium,123.58,Efectivo,1,No,Vacaciones,Colombia,2,2,4,4,4,3,1,3
Premium,112.11,Online,3,Sí,Otro,México,4,4,5,5,1,3,2,2
Familiar,113.95,Online,9,No,Vacaciones,Brasil,5,4,5,1,5,4,3,3
Estándar,112.2,Efectivo,5,No,Evento,Alemania,1,2,4,3,1,4,4,3
Estándar,165.35,Tarjeta,6,No,Vacaciones,Colombia,3,3,2,3,1,2,5,3
Premium,143.74,Transferencia,5,No,Vacaciones,Argentina,2,1,3,2,4,1,1,3
Suite,40.0,Efectivo,1,Sí,Vacaciones,Argentina,5,3,1,4,4,2,2,4
Premium,146.24,Efectivo,1,Sí,Vacaciones,Alemania,3,5,4,4,5,4,1,4
Premium,127.79,Efectivo,4,Sí,Vacaciones,México,5,2,4,1,5,1,2,3
Premium,119.25,Tarjeta,3,Sí,Otro,México,4,3,4,1,3,3,4,4
Premium,104.46,Online,8,Sí,Negocios,Alemania,3,5,4,1,1,3,3,3
Familiar,164.96,Tarjeta,7,No,Otro,EEUU,2,3,5,5,5,5,3,5
Estándar,157.9,Efectivo,7,Sí,Evento,Alemania,4,5,2,5,4,4,2,4
Familiar,89.08,Tarjeta,8,Sí,Negocios,Brasil,3,4,4,3,3,5,1,3
Familiar,136.28,Tarjeta,7,Sí,Evento,Alemania,5,4,4,3,3,2,3,4
Familiar,81.13,Efectivo,2,No,Vacaciones,Alemania,4,2,4,3,4,2,1,3
Premium,64.82,Tarjeta,4,No,Evento,EEUU,2,3,3,4,5,1,5,4
Suite,94.93,Transferencia,6,No,Otro,España,3,4,3,3,4,4,1,3
Estándar,154.5,Tarjeta,3,Sí,Otro,México,5,1,1,2,5,1,5,4
Suite,158.13,Tarjeta,3,No,Vacaciones,Brasil,5,4,2,1,4,1,5,4
Familiar,140.52,Online,6,Sí,Vacaciones,Colombia,4,4,4,4,4,2,3,3
Familiar,149.0,Online,1,Sí,Negocios,México,3,3,1,5,2,2,5,2
Suite,140.65,Efectivo,1,No,Otro,México,5,5,1,1,5,4,1,3
Suite,94.34,Efectivo,5,No,Otro,España,4,1,2,3,1,2,4,3
Suite,137.28,Online,1,No,Negocios,México,1,1,3,5,2,4,1,3
Familiar,152.02,Transferencia,8,No,Otro,México,5,5,2,5,2,5,2,4
Familiar,150.17,Tarjeta,2,No,Negocios,EEUU,4,3,1,5,2,3,2,3
Estándar,167.56,Transferencia,6,Sí,Otro,EEUU,1,4,2,1,2,5,1,2
Estándar,148.33,Transferencia,5,No,Evento,EEUU,4,5,3,4,1,2,2,3
Familiar,134.06,Online,4,Sí,Evento,EEUU,5,1,1,1,2,3,4,2
Suite,162.81,Efectivo,1,No,Negocios,EEUU,1,1,2,2,1,3,2,2
