,Id,Texto,Re-Teewts,Likes
0,1588674952747569152,🫣✨🍾🎶👌 https://t.co/euxLaQp1HU,227,1066
1,1588657878012936193,"RT @LucasArnau: Esta semana lanzamos mi nuevo sencillo junto a  @Marbelle30 ya quiero que lo escuchen, es una canción preciosa que escribí…",234,0
2,1587753725770272769,🤣🫶 https://t.co/e7TIMQZeVA,213,573
3,1587753579154210816,RT @gustavodeltoro8: @zaratearte @Danielbricen @CesarPachonAgro La evidencia es clara. La economía se mueve de acuerdo con la confianza q i…,20,0
4,1587752910338785280,Y así … de la misma forma en el sentido contrario 🫠 https://t.co/5ChJ4G2tlU,153,432
5,1587752608613236741,RT @MariaFdaCabal: ¿Será que Petro le recuerda al genocida Maduro que lo busca la justicia de los EEUU? https://t.co/Z2VmzyQIHC,2458,0
6,1587752342522368000,Ufffff https://t.co/EOAAdo6Pyz,10,97
7,1587499054195478534,"@AnimalesBOG   URGENTE!! 
Ayúdenme a difundir https://t.co/bzKc5qNlgm",0,2
8,1587256142295597056,Cambio 1 dólar por 5 laminitas de 1000 !,225,877
9,1587255668683177984,"Ya casi vale 1 dólar el pan rollito? 
O a cuántos días de eso estamos 🫠",292,980
10,1586885601307070466,"RT @QuotesforGoal: ""Nunca confundas educación con inteligencia, puedes tener un doctorado y seguir siendo un idiota""

Richard Feynman",5860,0
11,1586327463457529857,RT @CNVerbal: La maldición que padece Medellín 👇 https://t.co/byv1hEppVM,246,0
12,1586327424106635269,"RT @CeDemocratico: Daniel Quintero, Alcalde de Medellín se encuentra promocionando a sus candidatos que se lanzarán a las elecciones region…",874,0
13,1586327334251921408,"RT @MariaFdaCabal: El nivel de irrespeto y la sed de caos de la Primera Línea, evidencia la pobreza en su espíritu. Quieren transgredir tod…",2316,0
14,1586326601796812800,RT @MiguelPoloP: Este 29O quienes defendemos la libertad y la democracia salgamos a las calles de Colombia.Ya basta de tanto desorden q afe…,965,0
15,1586326079299780608,"RT @SoyPasaporte: Cuando muere el amigo de un llanero, el cielo llora sobre la sabana. https://t.co/HLOEM1orDG",602,0
16,1586326035016318976,@JAlirioBarreraR  😭 https://t.co/fLvzrJ5wXY,20,81
17,1584505522593878016,RT @VickyDavilaH: Ahí tienen al viceministro Gustavo García con los 3 jóvenes detenidos supuestamente de la primera línea. Él gestiona su l…,5243,0
18,1584019034949160961,🫥 https://t.co/FWsYWi7bY2,81,238
19,1583803088900456448,RT @FicoGutierrez: Lo único cierto es que los #petrovideos sí existieron y el país pudo conocer la campaña sucia y de desprestigio que hici…,3881,0
20,1583610581055320064,RT @GUSMALDONADOS: Buenas noches Twitteros. Les comparto abajo información muy importante sobre el auxilio que pide una madre que busca a s…,145,0
21,1583257644705665024,"RT @lcvelez: 3. Señor Presidente ⁦@petrogustavo⁩ ,    sin que se moleste, insulte o ataque, podría por favor contarnos a los colombianos ¿c…",3662,0
22,1583058032199860230,"RT @MariaFdaCabal: La izquierda tiene tanta moral que la tiene doble. Petro vive buscando cómo indultar a los criminales de Primera Linea,…",667,0
23,1583057798841389057,RT @lcvelez: La narrativa del gobierno: el dólar sube por culpa de trinos destemplados y declaraciones y acciones de la ministra y la culpa…,2796,0
24,1583055241867452416,RT @EnriquePenalosa: ¿Entonces en la nueva Colombia de Petro y sus ministros de Defensa y Justicia los indígenas tienen derecho a agredir y…,3263,0
25,1583055193721094144,RT @RICHENAO: Para los indígenas no hay ley?,963,0
26,1583054883150000134,RT @LafaurieCabal: Cualquier indígena que salga de su territorio se le debe aplicar la ley que se aplica a cualquier colombiano. Ya el país…,1717,0
27,1583054488549457925,"RT @ghitis: ¿Conocen el dicho ""el cura predica pero no practica?
Miren a los señores del pacto histórico: quieren acabar con la comida chat…",3307,0
28,1583054384497233920,RT @ANIABELLO_R: Súper “ancestral” la vestimenta de este “indígena”. https://t.co/YUKm1VEUOw,2539,0
29,1583054336933781504,"RT @Vahia_: Dí que tu país está vuelto mierda, sin decir que tu país está vuelto mierda:

- ""El presidente de Colombia es Gustavo Petro "".",737,0
30,1583054284353986560,"RT @MiguelUribeT: Y a éstos son los que Petro quiere indultar.

🚨 SOS Colombia.

Este es el resultado de empoderar a los criminales y crimi…",1450,0
31,1583053766101606400,"RT @VargasvilCol: Ver a un grupo de vándalos atacando a un policía indefenso, es apenas una pequeña muestra del “amor” de este gobierno por…",1409,0
32,1583052930617606145,@PoliciaColombia  Con ustedes SIEMPRE! https://t.co/jOjBOzUEPq,101,298
33,1583052484817604608,RT @Goretti_1010: @MiguelUribeT Como duele Colombia. No podemos permitir que esto siga sucediendo. https://t.co/jpiC0MwqwP,46,0
34,1583052439821115397,"RT @MiguelUribeT: ¿Cómo es posible que esto pase?

Bogotá sin alcalde.

Colombia sin presidente. https://t.co/beybmTNNsq",5818,0
35,1582757046931189760,"RT @MiguelUribeT: Petro pretende indultar a los criminales de primera línea.

¿Olvida que estos bandidos están siendo judicialízanos por se…",1655,0
