Nombres,nivel_satisfaccion,ultima_evaluacion,numero_proyectos,prom_horas_mes,tiempo_empresa,"accidente_trabajo (0 No, 1 Si)","promocion_ultimos_5 (0 Si, 1 No)","salario (0 Bajo, 1 Medio, 2 2)","renuncio (1 Si, 0 No)"
Empleado 1,0.38,0.53,2,157,3,0,0,0,1
Empleado 2,0.8,0.86,5,262,6,0,0,1,1
Empleado 3,0.11,0.88,7,272,4,0,0,1,1
Empleado 4,0.72,0.87,5,223,5,0,0,0,1
Empleado 5,0.37,0.52,2,159,3,0,0,0,1
Empleado 6,0.41,0.5,2,153,3,0,0,0,1
Empleado 7,0.1,0.77,6,247,4,0,0,0,1
Empleado 8,0.92,0.85,5,259,5,0,0,0,1
Empleado 9,0.89,1,5,224,5,0,0,0,1
Empleado 10,0.42,0.53,2,142,3,0,0,0,1
Empleado 11,0.45,0.54,2,135,3,0,0,0,1
Empleado 12,0.11,0.81,6,305,4,0,0,0,1
Empleado 13,0.84,0.92,4,234,5,0,0,0,1
Empleado 14,0.41,0.55,2,148,3,0,0,0,1
Empleado 15,0.36,0.56,2,137,3,0,0,0,1
Empleado 16,0.38,0.54,2,143,3,0,0,0,1
Empleado 17,0.45,0.47,2,160,3,0,0,0,1
Empleado 18,0.78,0.99,4,255,6,0,0,0,1
Empleado 19,0.45,0.51,2,160,3,1,1,0,1
Empleado 20,0.76,0.89,5,262,5,0,0,0,1
Empleado 21,0.11,0.83,6,282,4,0,0,0,1
Empleado 22,0.38,0.55,2,147,3,0,0,0,1
Empleado 23,0.09,0.95,6,304,4,0,0,0,1
Empleado 24,0.46,0.57,2,139,3,0,0,0,1
Empleado 25,0.4,0.53,2,158,3,0,0,0,1
Empleado 26,0.89,0.92,5,242,5,0,0,0,1
Empleado 27,0.82,0.87,4,239,5,0,0,0,1
Empleado 28,0.4,0.49,2,135,3,0,0,0,1
Empleado 29,0.41,0.46,2,128,3,0,0,0,1
Empleado 30,0.38,0.5,2,132,3,0,0,0,1
Empleado 31,0.09,0.62,6,294,4,0,0,0,1
Empleado 32,0.45,0.57,2,134,3,0,0,0,1
Empleado 33,0.4,0.51,2,145,3,0,0,0,1
Empleado 34,0.45,0.55,2,140,3,0,0,0,1
Empleado 35,0.84,0.87,4,246,6,0,0,0,1
Empleado 36,0.1,0.94,6,255,4,0,0,0,1
Empleado 37,0.38,0.46,2,137,3,0,0,0,1
Empleado 38,0.45,0.5,2,126,3,0,0,0,1
Empleado 39,0.11,0.89,6,306,4,0,0,0,1
Empleado 40,0.41,0.54,2,152,3,0,0,0,1
Empleado 41,0.87,0.88,5,269,5,0,0,0,1
Empleado 42,0.45,0.48,2,158,3,0,0,0,1
Empleado 43,0.4,0.46,2,127,3,0,0,0,1
Empleado 44,0.1,0.8,7,281,4,0,0,0,1
Empleado 45,0.09,0.89,6,276,4,0,0,0,1
Empleado 46,0.84,0.74,3,182,4,0,0,0,1
